rs,lr,sr,alpha,aggregate,acc_train,kappa_train,acc_eval,kappa_eval,f1_weighted
500,0.3,0.7,1.0,final,0.7361111111111112,0.6481481481481481,0.4236111111111111,0.2314814814814815,0.42349990353077366
500,0.3,0.7,1.0,mean,0.7465277777777778,0.662037037037037,0.6006944444444444,0.46759259259259256,0.5709980141584766
500,0.3,0.7,1.0,concat,0.9131944444444444,0.8842592592592593,0.5763888888888888,0.43518518518518523,0.5565590838105154
500,0.3,0.7,100.0,final,0.5347222222222222,0.37962962962962965,0.4340277777777778,0.24537037037037035,0.41769198209717917
500,0.3,0.7,100.0,mean,0.6527777777777778,0.537037037037037,0.6006944444444444,0.46759259259259256,0.5432702125684581
500,0.3,0.7,100.0,concat,0.7152777777777778,0.6203703703703703,0.5590277777777778,0.4120370370370371,0.5122565611016086
500,0.3,0.7,10000.0,final,0.4375,0.25,0.4583333333333333,0.2777777777777778,0.3801587049545032
500,0.3,0.7,10000.0,mean,0.5763888888888888,0.43518518518518523,0.5868055555555556,0.44907407407407407,0.526403314726872
500,0.3,0.7,10000.0,concat,0.53125,0.375,0.5381944444444444,0.3842592592592593,0.4638822824483776
500,0.3,0.9,1.0,final,0.8263888888888888,0.7685185185185185,0.4409722222222222,0.25462962962962965,0.4408009920509471
500,0.3,0.9,1.0,mean,0.7708333333333334,0.6944444444444444,0.6284722222222222,0.5046296296296297,0.603469199519131
500,0.3,0.9,1.0,concat,0.9305555555555556,0.9074074074074074,0.6319444444444444,0.5092592592592593,0.6184245761416528
500,0.3,0.9,100.0,final,0.5590277777777778,0.4120370370370371,0.4270833333333333,0.23611111111111116,0.40504376460974506
500,0.3,0.9,100.0,mean,0.6597222222222222,0.5462962962962963,0.5972222222222222,0.4629629629629629,0.5406261922303618
500,0.3,0.9,100.0,concat,0.75,0.6666666666666667,0.5659722222222222,0.4212962962962963,0.5316731331533963
500,0.3,0.9,10000.0,final,0.4548611111111111,0.27314814814814814,0.4756944444444444,0.30092592592592593,0.3945142950572485
500,0.3,0.9,10000.0,mean,0.59375,0.45833333333333337,0.59375,0.45833333333333337,0.5323237630484104
500,0.3,0.9,10000.0,concat,0.5381944444444444,0.3842592592592593,0.5625,0.41666666666666663,0.49335181637339914
500,0.3,1.2,1.0,final,0.9166666666666666,0.8888888888888888,0.4236111111111111,0.2314814814814815,0.42472929933098935
500,0.3,1.2,1.0,mean,0.8055555555555556,0.7407407407407407,0.6423611111111112,0.5231481481481481,0.6221892999698461
500,0.3,1.2,1.0,concat,0.9895833333333334,0.9861111111111112,0.5763888888888888,0.43518518518518523,0.5624736057733366
500,0.3,1.2,100.0,final,0.5868055555555556,0.44907407407407407,0.4340277777777778,0.24537037037037035,0.42102701642360213
500,0.3,1.2,100.0,mean,0.6805555555555556,0.5740740740740741,0.59375,0.45833333333333337,0.5544960434329764
500,0.3,1.2,100.0,concat,0.7847222222222222,0.712962962962963,0.5833333333333334,0.4444444444444444,0.5571933225754715
500,0.3,1.2,10000.0,final,0.4722222222222222,0.2962962962962963,0.4618055555555556,0.28240740740740744,0.3858565086825956
500,0.3,1.2,10000.0,mean,0.5972222222222222,0.4629629629629629,0.5763888888888888,0.43518518518518523,0.5013246576478426
500,0.3,1.2,10000.0,concat,0.5555555555555556,0.40740740740740744,0.5763888888888888,0.43518518518518523,0.5029309349402806
500,0.3,1.5,1.0,final,0.9930555555555556,0.9907407407407407,0.4583333333333333,0.2777777777777778,0.457263014257872
500,0.3,1.5,1.0,mean,0.8368055555555556,0.7824074074074074,0.6493055555555556,0.5324074074074074,0.6375427434266547
500,0.3,1.5,1.0,concat,1.0,1.0,0.5902777777777778,0.4537037037037037,0.5782590061849093
500,0.3,1.5,100.0,final,0.6354166666666666,0.5138888888888888,0.4583333333333333,0.2777777777777778,0.4518822075878256
500,0.3,1.5,100.0,mean,0.7013888888888888,0.6018518518518519,0.5868055555555556,0.44907407407407407,0.5455170049169676
500,0.3,1.5,100.0,concat,0.8506944444444444,0.8009259259259259,0.6006944444444444,0.46759259259259256,0.5866003607607246
